ppt_id,clu,gender,age,ethnicity,family,location,handedness,clu_composite,clu_within_clu,clu_complex,question,eye_n_brow,head,mouth_gesture_question,mouthing_question,manual,nonmanual,position,semantic,social_action,rh_idgloss,lh_idgloss,any_head_movement,any_head_nod,any_head_forward,any_head_backward,any_head_sideward,any_head_shake,any_head_up,any_head_down,any_eye_brow,any_eye_brow_up,any_eye_brow_down,any_eye_brow_squint,any_eye_brow_wide,has_single_mouthing,has_multiple_mouthing,any_manual,has_manual_single,has_manual_multiple,any_mouthing,elicited_response,has_CA
BL10,BL10F44WHC_CLU#004,F,44,White,Hearing,Bristol,right-handed,Depend,NA,dependent,Continuing-NR,up,Up,no,Absent,Absent,Present,NA,Other,rhetorical,"SAME, DEAF, COMMUNITY, PT:PRO1SG, FROM-TO","SAME, FBUOY, COMMUNITY, FROM-TO",yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no response,no CA
BL10,BL10F44WHC_CLU#012,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,up,Down,no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,"FEEL, PT:PRO2SG, WHAT",NA,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,response,no CA
BL10,BL10F44WHC_CLU#018,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,down,Nod,no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Other,assessment,"TRUE, SAD, G:WELL","TRUE, FBUOY, G:WELL",yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,response,no CA
BL10,BL10F44WHC_CLU#020,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating,"up, null","Nod, Null",no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,"PT:DET/FUTURE, WEDNESDAY, OPERATE, WHAT",WEDNESDAY,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,response,no CA
BL10,BL10F44WHC_CLU#021,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating-NR,"null, down, null","Nod, Null",no,Single,Single,Present,other,Content,OIR-restricted,"MEANING, PT:POSS2SG/DET, SHOULDER, HARD02, WHAT, MEANING, G:WELL","MEANING, HARD02, MEANING, G:WELL",yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no response,no CA
BL10,BL10F44WHC_CLU#022,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing-NR,null,Null,no,Absent,Absent,Present,NA,Content,OIR-restricted,"NAME, G:WELL, DSEW(FIST)-MOVE","FBUOY, G:WELL, DSEW(FLAT)-BE",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no response,no CA
BL10,BL10F44WHC_CLU#023,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,up,Null,no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Polar,OIR-restricted,"MEANING, FS:I-INFLAMMATION, PT:","MEANING, FS:I-INFLAMMATION, FBUOY",no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,response,no CA
BL10,BL10F44WHC_CLU#025,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating,up,"Down, HS1",no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Polar,OIR-restricted,"GO-IN, SCHOOL02, PT:PRO3SG",GO-IN,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,response,no CA
BL10,BL10F44WHC_CLU#027,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating,up,Forward,no,Absent,Absent,Present,NA,Polar,OIR-restricted,"SAME, TIME, PT:PRO3PL","SAME, TIME, FBUOY",yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,response,no CA
BL10,BL10F44WHC_CLU#032,F,44,White,Hearing,Bristol,right-handed,Embed,contained,NA,Continuing,down,Forward,no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,"MOTORBIKE, CRASH, FALL, BEEN, PT:PRO2SG","MOTORBIKE, CRASH",yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,response,no CA
BL10,BL10F44WHC_CLU#036,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating,"null, up, null","Null, Down, Null",no,Single,Single,Present,other,Content,request information,"G:ERM, PT:PRO2SG, G:ERM, PT:DET/FUTURE, ADD-TO-SIGNBANK(WEDNESDAY2), STAY, HOSPITAL, LONG, STAY","G:ERM, PT:PRO2SG, ADD-TO-SIGNBANK(WEDNESDAY2), STAY, HOSPITAL, LONG, STAY",yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,response,no CA
BL10,BL10F44WHC_CLU#038,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating,null,"HS, Null",yes,Single,Multiple,Present,reprise (clause-final),Content,request information,"OPERATE, G:WELL, LONG, G:WELL","G:WELL, FBUOY, G:WELL",yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,response,no CA
BL10,BL10F44WHC_CLU#041,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,"up, down","Null, HS",no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Alternative,request confirmation,"NEXT, G:CA:ABLE-TO-MOVE, HEALTHY, G:WELL","NEXT, G:CA:ABLE-TO-MOVE, HEALTHY, G:WELL",yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,response,has CA
BL10,BL10F44WHC_CLU#043,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating,down,Null,no,Single,Multiple,Present,reprise (clause-final),Content,request information,"PT:PRO2SG, WORK, WHAT, PT:PRO2SG, WHAT",WORK,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,yes,response,no CA
BL10,BL10F44WHC_CLU#044,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Initiating,null,"Nod, Null, Nod",no,Absent,Absent,Present,NA,Polar,OIR-restricted,"MEANING, DEAF, KNOW, G:WELL, MAYBE","MEANING, FBUOY, G:WELL, MAYBE",yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,response,no CA
BL10,BL10F44WHC_CLU#045,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,null,"Null, Nod",no,Absent,Single,Present,post-predicate (non-reprise & clause-final),Polar,OIR-restricted,"SAME, ENCOURAGE, CONFIDENT, PT:PRO2SG, G:WELL","SAME, ENCOURAGE, FBUOY",yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,response,no CA
BL10,BL10F44WHC_CLU#047,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,down,Backward,no,Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,"LONG, WORK, SINCE, PT:PRO2SG","WORK, SINCE",yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,response,no CA
BL10,BL10F44WHC_CLU#077,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,up,Null,no,Absent,Absent,Present,NA,Polar,OIR-restricted,PT:PRO1SG,NA,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,response,no CA
BL10,BL10F44WHC_CLU#079,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,up,Null,no,Absent,Absent,Present,NA,Polar,request confirmation,"G:ERM, TWO, TWELVE04, UNIT, ONE, YEAR","G:ERM, FBUOY, UNIT, YEAR",no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,response,no CA
BL10,BL10F44WHC_CLU#101,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,up,"Backward, Forward",no,Single,Single,Present,post-predicate (non-reprise & clause-final),Other,rhetorical,"BUT, G:HEY, BUT, GO-IN, SCHOOL02, PT:PRO1SG, WHAT",GO-IN,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,yes,response,has CA
BL10,BL10F44WHC_CLU#104,F,44,White,Hearing,Bristol,right-handed,Single,NA,NA,Continuing,down,Null,no,Single,Absent,Present,NA,Polar,request confirmation,"OVER-TIME, WHEN, PT:POSS1SG, SISTER, PT:DET, HAVE, PROJECTOR02","OVER-TIME, FBUOY, HAVE, PROJECTOR02",no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,response,has CA
LN05,LN05M58WDC_CLU#002,M,58,White,Deaf,London,right-handed,Single,NA,NA,Continuing,null,Null,no,Absent,Absent,Present,NA,Polar,request confirmation,"PT:, WAR, FS:W-WEST, FS:H-HAM, AGAINST","WAR, FS:W-WEST, FS:H-HAM, AGAINST",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,response,no CA
LN05,LN05M58WDC_CLU#015,M,58,White,Deaf,London,right-handed,Single,NA,NA,Continuing,"up, down","Null, Forward, HS",yes,Absent,Absent,Present,NA,Polar,rhetorical,"TOMORROW, PT:, AGAIN, AGAINST, NO","AGAINST, NO",yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,response,no CA
LN05,LN05M58WDC_CLU#053,M,58,White,Deaf,London,right-handed,Single,NA,NA,Continuing,down,Down,no,Single,Multiple,Present,other,Content,request information,"PT:PRO2SG, FAVOUR, WHO, PT:PRO2SG",FAVOUR,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,yes,response,no CA
LN05,LN05M58WDC_CLU#054,M,58,White,Deaf,London,right-handed,SharedCecho,NA,NA,Initiating,up,Down,no,Absent,Absent,Present,NA,Polar,OIR-restricted,FS:MIDDLESBROUGH(MD),FS:MIDDLESBROUGH(MD),yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,response,no CA
LN05,LN05M58WDC_CLU#055,M,58,White,Deaf,London,right-handed,Single,NA,NA,Continuing,down,"Nod, Null",no,Absent,Absent,Present,NA,Polar,OIR-restricted,"THINK, PT:PRO3SG, SN:MIDDLESBROUGH",FBuoy,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,response,no CA
LN05,LN05M58WDC_CLU#086,M,58,White,Deaf,London,right-handed,Single,NA,NA,Initiating,up,Down,no,Absent,Single,Present,other,Polar,OIR-restricted,NA,PT:PRO2SG,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,response,no CA
LN05,LN05M58WDC_CLU#102,M,58,White,Deaf,London,right-handed,Embed,pre-container,NA,Continuing,"null, down",Null,no,Absent,Absent,Present,NA,Polar,request confirmation,"LATER, PT:POSS1SG, FRIEND, NAME, FS:TONY, SN:STAR(ADD-TO-SIGNBANK)","FRIEND, FS:TONY, SN:STAR(ADD-TO-SIGNBANK)",no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,response,no CA
LN05,LN05M58WDC_CLU#114,M,58,White,Deaf,London,right-handed,Single,NA,NA,Continuing,null,"Null, Up, Nod",no,Absent,Absent,Present,NA,Polar,request confirmation,"PT:, STADIUM, DSS(2), PT:PRO1SG, GO-IN","STADIUM, DSS(2), FBuoy, GO-IN",yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,response,no CA
